station_name,time_bucket,wind_speed,temperature,dew_point,relative_humidity,rainfall_amount,humidex
DELTA BURNS BOG,2025-12-17 00:00:00-08:00,0.9,8.91,8.9,100.0,0.64,9.7
DELTA BURNS BOG,2025-12-17 00:10:00-08:00,0.37,8.86,8.83,100.0,1.08,9.62
DELTA BURNS BOG,2025-12-17 00:20:00-08:00,0.57,8.83,8.82,100.0,1.54,9.59
DELTA BURNS BOG,2025-12-17 00:30:00-08:00,2.94,8.95,8.94,100.0,2.42,9.76
DELTA BURNS BOG,2025-12-17 00:40:00-08:00,5.81,9.13,9.12,100.0,3.26,10.02
DELTA BURNS BOG,2025-12-17 00:50:00-08:00,13.67,7.45,7.22,98.2,4.28,7.55
DELTA BURNS BOG,2025-12-17 01:00:00-08:00,15.38,6.87,6.46,97.55,4.24,6.68
DELTA BURNS BOG,2025-12-17 01:10:00-08:00,12.89,6.7,6.03,95.6,4.6,6.35
DELTA BURNS BOG,2025-12-17 01:20:00-08:00,10.8,6.72,6.2,96.2,4.44,6.44
DELTA BURNS BOG,2025-12-17 01:30:00-08:00,8.25,6.79,6.27,96.1,3.62,6.53
DELTA BURNS BOG,2025-12-17 01:40:00-08:00,6.92,6.78,6.19,96.0,2.82,6.49
DELTA BURNS BOG,2025-12-17 01:50:00-08:00,5.58,6.85,6.15,95.5,1.6,6.55
DELTA BURNS BOG,2025-12-17 02:00:00-08:00,5.34,6.85,6.28,96.18,1.18,6.6
DELTA BURNS BOG,2025-12-17 02:10:00-08:00,8.08,7.1,6.31,94.7,0.52,6.86
DELTA BURNS BOG,2025-12-17 02:20:00-08:00,9.09,7.3,6.3,93.3,0.2,7.05
DELTA BURNS BOG,2025-12-17 02:30:00-08:00,8.02,7.39,6.36,93.3,0.16,7.17
DELTA BURNS BOG,2025-12-17 02:40:00-08:00,8.04,7.39,6.17,91.9,0.0,7.1
DELTA BURNS BOG,2025-12-17 02:50:00-08:00,6.79,7.22,5.9,91.1,0.0,6.83
DELTA BURNS BOG,2025-12-17 03:00:00-08:00,6.55,7.25,5.49,88.64,0.0,6.71
DELTA BURNS BOG,2025-12-17 03:10:00-08:00,7.4,7.29,5.4,87.8,0.0,6.72
DELTA BURNS BOG,2025-12-17 03:20:00-08:00,8.2,7.47,4.84,83.5,0.0,6.71
DELTA BURNS BOG,2025-12-17 03:30:00-08:00,12.02,7.65,3.5,74.9,0.0,6.46
DELTA BURNS BOG,2025-12-17 03:40:00-08:00,13.18,7.28,3.96,79.3,0.0,6.23
DELTA BURNS BOG,2025-12-17 03:50:00-08:00,11.19,6.38,4.77,89.5,0.18,5.6
DELTA BURNS BOG,2025-12-17 04:00:00-08:00,9.64,5.91,4.51,90.64,0.4,5.04
DELTA BURNS BOG,2025-12-17 04:10:00-08:00,9.75,5.63,4.19,90.7,0.4,4.65
DELTA BURNS BOG,2025-12-17 04:20:00-08:00,7.03,5.72,4.03,88.9,0.4,4.69
DELTA BURNS BOG,2025-12-17 04:30:00-08:00,7.56,6.08,3.75,85.2,0.4,4.96
DELTA BURNS BOG,2025-12-17 04:40:00-08:00,7.45,6.3,3.82,84.2,0.4,5.21
DELTA BURNS BOG,2025-12-17 04:50:00-08:00,6.36,6.32,4.06,85.4,0.22,5.3
DELTA BURNS BOG,2025-12-17 05:00:00-08:00,6.73,6.57,4.58,87.18,0.0,5.72
DELTA BURNS BOG,2025-12-17 05:10:00-08:00,6.33,6.58,4.84,88.8,0.0,5.82
DELTA BURNS BOG,2025-12-17 05:20:00-08:00,6.98,6.59,4.5,86.5,0.0,5.72
DELTA BURNS BOG,2025-12-17 05:30:00-08:00,5.85,6.45,3.89,83.7,0.0,5.38
DELTA BURNS BOG,2025-12-17 05:40:00-08:00,5.63,6.15,3.74,84.5,0.0,5.03
DELTA BURNS BOG,2025-12-17 05:50:00-08:00,5.41,6.3,3.71,83.4,0.0,5.17
DELTA BURNS BOG,2025-12-17 06:00:00-08:00,5.64,6.14,3.65,83.82,0.0,4.99
DELTA BURNS BOG,2025-12-17 06:10:00-08:00,6.3,6.03,3.35,83.1,0.0,4.79
DELTA BURNS BOG,2025-12-17 06:20:00-08:00,5.52,5.82,3.09,82.4,0.0,4.5
DELTA BURNS BOG,2025-12-17 06:30:00-08:00,5.12,5.75,2.86,81.8,0.0,4.36
DELTA BURNS BOG,2025-12-17 06:40:00-08:00,4.62,5.72,3.08,83.3,0.0,4.4
