geometry.coordinates,date_tm-value,stn_nam-value,air_temp,air_temp-qa,dwpt_temp,rel_hum,rel_hum-qa,avg_wnd_spd_10m_pst10mts,avg_wnd_spd_10m_pst1hr,rnfl_amt_pst1mt,rnfl_amt_pst1mt-qa,rnfl_amt_pst1hr,rnfl_amt_pst1hr-qa,dwpt_temp-qa,avg_vis_pst10mts,vis,vis-qa
"[-122.8493, 49.2809, 6.0]",2025-12-24T08:00:00.000Z,Rocky Point Park,,,,,,,,,,,,,,,
"[-122.9607, 49.1657, 6.0]",2025-12-24T08:00:00.000Z,Annacis Island,,,,,,,,,,,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-24T08:00:00.000Z,WHITE ROCK,4.4,100.0,0.3,75.0,100.0,5.4,5.0,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-24T08:00:00.000Z,DELTA BURNS BOG,1.7,100.0,1.7,100.0,100.0,0.6,0.2,,,0.0,100.0,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-24T08:00:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,8.0,7.4,,,,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-24T08:00:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,7.9,7.4,,,,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-24T08:00:00.000Z,PITT MEADOWS CS,2.8,100.0,1.9,94.0,100.0,0.7,1.7,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-24T08:00:00.000Z,DELTA BURNS BOG,1.7,100.0,1.7,100.0,100.0,0.6,0.2,0.0,100.0,0.0,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-24T08:00:00.000Z,WEST VANCOUVER AUT,2.8,100.0,1.1,89.0,100.0,0.6,0.5,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-24T08:00:00.000Z,POINT ATKINSON,5.2,100.0,0.0,69.0,100.0,2.1,2.5,,,,,,,,
"[-123.008, 49.0733, 1.8]",2025-12-24T08:00:00.000Z,Vancouver Boundary Bay,2.0,100.0,0.9,93.0,100.0,5.0,,,,,,100.0,,,
"[-123.184, 49.1947, 4.0]",2025-12-24T08:00:00.000Z,Vancouver International,4.4,100.0,1.7,83.0,100.0,,,,,,,100.0,,32.19,100.0
"[-122.631, 49.1008, 10.4]",2025-12-24T08:00:00.000Z,Langley Regional,1.2,100.0,1.1,99.0,100.0,4.3,,,,,,100.0,,,
"[-123.187254, 49.182552, 4.118]",2025-12-24T08:00:00.000Z,VANCOUVER SEA ISLAND CCG,3.8,100.0,1.5,85.0,100.0,2.4,1.9,,,0.0,100.0,,,,
"[-123.303374, 49.105909, 13.0]",2025-12-24T08:00:00.000Z,SANDHEADS CS,5.4,100.0,1.3,74.0,100.0,5.1,1.4,,,,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-24T08:00:00.000Z,PITT MEADOWS CS,2.8,100.0,1.9,94.0,100.0,0.7,1.7,,,0.0,100.0,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-24T08:00:00.000Z,WHITE ROCK,4.4,100.0,0.3,75.0,100.0,5.4,5.0,,,0.0,100.0,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-24T08:00:00.000Z,POINT ATKINSON,5.2,100.0,0.0,69.0,100.0,2.1,2.5,,,,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-24T08:00:00.000Z,WEST VANCOUVER AUT,2.8,100.0,1.1,89.0,100.0,0.7,0.5,,,0.0,100.0,,,,
"[-122.713, 49.2161, 3.7]",2025-12-24T08:00:00.000Z,Pitt Meadows,2.7,100.0,1.7,93.0,100.0,1.8,,,,,,100.0,,,
"[-123.106, 49.2869, 0.0]",2025-12-24T08:00:00.000Z,Vancouver Harbour,4.2,100.0,0.6,77.0,100.0,1.8,,,,,,100.0,,,
