Name,Latitude,Longitude
Bowen Island Municipality,49.37425460822105,-123.37039851628555
City of Burnaby,49.24791693606697,-122.96499894886063
City of Coquitlam,49.297120029117444,-122.77189367769623
City of Delta,49.07752525005596,-123.07319465130485
City of Langley,49.09863348281137,-122.65976906422587
City of Maple Ridge,49.26198415794452,-122.51578925205158
City of New Westminster,49.208239743572456,-122.91890253085361
City of North Vancouver,49.31549221718201,-123.07201801659056
City of Pitt Meadows,49.27218408105676,-122.6631444968655
City of Port Coquitlam,49.253257404737695,-122.76248696451428
City of Port Moody,49.297213940214164,-122.87320388885557
City of Richmond,49.16962642704818,-123.17454843253059
City of Surrey,49.10689693132987,-122.79554470024506
City of Vancouver,49.253705045520306,-123.1127843500331
City of White Rock,49.01731652466256,-122.8148502617868
District of North Vancouver,49.36098531042162,-123.00405565405883
District of West Vancouver,49.366485174927064,-123.19539832763948
Electoral Area A,49.37089783975885,-123.05933479788274
Township of Langley,49.094379111104395,-122.57187358928728
Tsawwassen First Nation,49.03589103220784,-123.10752779472575
Village of Anmore,49.34618367423402,-122.85262398580996
Village of Belcarra,49.331362874770214,-122.90580813582281
Village of Lions Bay,49.462339825851735,-123.23779467501359
